"","Implied volatilities",,,,,,,
"Time-to-maturity strikes","3","28","48","68","133","198","263","398"
"2600","367.09","","","","","","",""
"2800","340.92","","","","","","",""
"3000","316.57","","","","","","",""
"3200","293.81","","","","","","",""
"3400","272.43","","","","","","",""
"3600","252.28","","","","","","",""
"3800","233.23","","","","","","",""
"4000","215.16","","","","","","",""
"4200","197.98","","","","38.39","","",""
"4400","181.60","","","","37.10","","",""
"4600","165.96","","","","36.19","","34.51",""
"4800","150.99","","","36.86","35.25","","33.79",""
"4900","143.73","","","36.15","","","",""
"5000","136.63","","","35.65","34.16","","33.28",""
"5100","129.66","","","35.38","","","",""
"5200","122.83","","","34.57","33.55","","32.32",""
"5300","116.13","","","33.94","","","",""
"5400","109.56","","","33.57","32.35","","31.82",""
"5500","103.11","","","33.02","","","",""
"5600","96.78","31.86","","32.30","31.70","","31.11",""
"5700","90.56","","","31.80","","","",""
"5800","84.45","30.18","","31.53","30.65","","30.16",""
"5900","78.44","","","30.73","","","",""
"6000","72.54","28.46","29.12","30.13","29.92","29.38","29.47","29.49"
"6100","66.74","","","29.77","","","",""
"6200","61.03","27.04","28.01","29.17","29.04","28.72","28.91","28.78"
"6250","58.21","","","","","","",""
"6300","55.42","","","28.54","28.58","","",""
"6350","52.64","","","","","","",""
"6400","55.24","25.86","27.06","28.19","28.26","28.06","28.00","27.83"
"6450","52.88","","","","","","",""
"6500","50.76","","","27.66","28.04","","",""
"6550","48.08","","","","","","",""
"6600","45.41","24.70","26.02","27.08","27.44","27.24","27.39","27.87"
"6650","42.77","24.29","25.74","26.88","","","",""
"6700","40.15","24.15","25.38","26.74","26.99","26.97","",""
"6750","37.55","24.05","25.12","26.59","","","",""
"6800","34.97","23.59","24.96","26.23","26.67","26.79","26.79","27.15"
"6850","34.14","23.32","24.90","25.92","","","",""
"6900","31.62","23.21","24.49","25.69","26.48","26.30","",""
"6950","29.71","23.00","24.21","25.54","","","",""
"7000","28.95","22.62","24.02","25.45","25.91","25.88","26.00","26.63"
"7050","28.46","22.41","23.94","25.15","","","",""
"7100","26.85","22.42","23.65","24.83","25.50","25.53","",""
"7150","27.11","22.01","23.34","24.59","","","",""
"7200","25.56","21.74","23.14","24.43","25.24","25.30","25.54","26.32"
"7250","25.30","21.69","23.07","24.34","","","",""
"7300","23.98","21.21","22.65","23.91","24.87","24.86","",""
"7350","23.80","20.94","22.33","23.60","","","",""
"7400","23.59","20.86","22.16","23.37","24.39","24.40","24.47","24.94"
"7450","23.91","20.77","22.11","23.23","","","",""
"7500","24.87","20.46","21.88","23.17","24.06","24.06","",""
"7550","25.59","20.37","21.62","22.95","","","",""
"7600","26.96","20.37","21.48","22.67","23.89","23.85","23.90","24.45"
"7650","28.32","20.06","21.48","22.48","","","",""
"7700","29.03","20.00","","22.38","23.51","23.71","",""
"7750","30.25","20.10","","22.35","","","",""
"7800","32.47","19.80","20.93","22.07","23.14","23.30","23.56","24.15"
"7850","34.69","","","21.84","","","",""
"7900","36.37","19.89","20.65","21.72","22.93","22.97","",""
"7950","35.67","","","21.67","","","",""
"8000","37.85","19.55","20.48","21.48","22.76","22.76","22.91","23.67"
"8050","40.02","","","21.32","","","",""
"8100","42.17","","","21.15","22.35","22.66","",""
"8150","44.31","","","","","","",""
"8200","46.44","19.53","20.04","21.08","22.13","22.33","22.59","23.19"
"8250","48.55","","","","","","",""
"8300","","","","20.68","22.06","22.02","",""
"8400","54.81","19.54","","20.60","21.69","21.81","22.05","22.92"
"8500","","","","","","21.72","",""
"8600","62.97","19.38","","20.23","21.36","21.45","",""
"8700","","","","","","21.14","",""
"8800","70.95","","","19.93","20.85","20.97","21.31","22.07"
"8900","","","","","","20.90","",""
"9000","78.75","","","19.78","20.61","20.63","",""
"9100","","","","","","20.37","",""
"9200","86.37","","","19.74","20.25","20.21","20.64","21.46"
"9400","93.84","","","19.91","19.93","19.86","",""
"9600","101.14","","","19.93","19.86","19.52","19.90","20.85"
"9800","108.29","","","19.94","19.54","19.15","",""
"10000","115.30","","","20.38","19.53","18.89","19.19","20.13"
"10200","","","","","19.35","","",""
"10400","","","","","19.41","","",""
